School ID,School Name,ZIP,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
610244,Michele Clark Academic Prep Magnet High School,60644,4,Average,49.10%,53.90%,61.80%,55.30%,Below Average,14.03,14.46,16.4,13.67,14.66,16.4,87.40%,76.60%,3.70%,4%,78.20%,78.70%,13%,11.10%,60.40%,75.80%,62.40%,64.20%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,69.80%,82.70%,3.8,4.3,79.10%,89.60%,95.40%,95.80%,No,,
610245,Frederick A Douglass Academy High School,60644,5,Below Average,50%,59.20%,32.60%,48%,Far Below Average,13.31,13.5,14.7,12.34,13.62,14.7,52.80%,60.40%,4%,0.60%,77.10%,70.50%,5.10%,8.70%,39.50%,39.20%,50%,27.90%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,49%,72.30%,5.9,5.2,79.20%,76.90%,94.70%,94.30%,No,,
610297,High School of Leadership at South Shore,60649,7,Below Average,,52.70%,47.10%,49.40%,Far Below Average,11.65,13.07,13.9,,13.53,13.9,36.60%,42.60%,21.40%,11.20%,48.80%,,12.20%,6.10%,68.80%,55.30%,57.70%,42.10%,Not Yet Organized,Weak,Weak,Neutral,Neutral,Weak,Weak,56.80%,53.90%,3.4,3.2,72%,70.90%,95.20%,93.90%,No,,
610304,Phoenix Military Academy High School,60612,0,Above Average,56.50%,72.70%,52.20%,61.90%,Below Average,15.04,15.88,18.9,15.39,16.6,18.9,74.80%,77.80%,0.70%,3.60%,74.10%,81.60%,33.90%,34.90%,51.30%,46.60%,,54.30%,Well-organized,Strong,Strong,Very Strong,Very Strong,Strong,Neutral,87.40%,94.80%,1.8,1.9,92.10%,93.30%,97.40%,97.30%,No,,
610323,Bowen High School,60617,5,Average,,,54%,53.40%,Far Below Average,12.37,13.24,14.2,12.1,13.16,14.2,67.20%,56.90%,4.10%,0.20%,62.10%,70%,16.70%,13.30%,52.40%,53.80%,57.80%,61.20%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,39.90%,39.80%,4.2,2.6,75.60%,76.40%,94.70%,95.60%,No,,
610547,South Shore Intl College Prep High School,60649,0,Below Average,51.20%,,,51.20%,Not Enough Data,,,,13.71,,,,,,2.70%,,77.40%,,,,,,,Organized,Neutral,Neutral,Neutral,Strong,Strong,Neutral,,64.20%,,4.8,,85.30%,,94.20%,No,,
610334,Al Raby High School,60624,5,Below Average,43.80%,49.30%,54.90%,49.40%,Far Below Average,12.77,14.31,15.4,12.89,14.1,15.4,72.20%,70.20%,4.60%,6.70%,74.30%,79.90%,13.50%,17.90%,64.20%,68.80%,72%,67.90%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,77.10%,65.80%,3.5,4,80.30%,82.10%,95.10%,94.90%,No,,
610340,Chicago Academy High School,60634,0,Not Enough Data,,,,,Below Average,14.52,16.41,19.3,15.22,16.26,19.3,70.10%,71%,5.50%,4%,80.60%,82.20%,23.90%,35.20%,64.20%,75.80%,75.60%,71%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Strong,14.50%,4.50%,1.9,2.6,93.10%,93.60%,96.10%,95.60%,No,,
610357,Spry Community Links High School,60623,0,Below Average,61.30%,40.60%,,50.80%,Below Average,14.32,15.91,17.5,14.67,16.16,17.5,73.70%,87.10%,2.10%,0.80%,92.80%,100%,35%,39.60%,65.20%,52.60%,,68.80%,Well-organized,Neutral,Strong,Very Strong,Strong,Neutral,Strong,46.90%,24.50%,2.5,3.5,95.60%,94%,95.70%,96.60%,No,,
610380,Daniel Hale Williams Prep School of Medicine,60615,0,Above Average,61.50%,68.10%,57.40%,62.70%,Below Average,15.18,15.49,18,15.06,16.68,18,,81.70%,1.10%,1%,90.10%,86.30%,32.70%,18.80%,,74.50%,,,Moderately Organized,Neutral,Neutral,Strong,Weak,Neutral,Neutral,42.80%,35.40%,2.9,3.3,91.30%,88.90%,96.70%,96.40%,No,,
610381,Bronzeville Scholastic Academy High School,60615,4,Average,52.80%,58.70%,50.90%,54.10%,Below Average,14.67,15.89,16.9,14.54,15.37,16.9,85.30%,72.30%,2.60%,4.10%,71.10%,69.30%,14.70%,15.30%,73.20%,74.10%,73.20%,64.80%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Very Weak,Neutral,50.50%,43.90%,3.1,2.9,92.30%,91.70%,95.60%,94.60%,No,,
610383,Greater Lawndale High School For Social Justice,60623,0,Average,49.40%,61.60%,,56%,Below Average,13.91,14.67,16.2,14.45,15.54,16.2,67%,70.90%,3%,2.50%,87.40%,83%,14.90%,26.20%,57.40%,47.10%,71.40%,72.70%,Moderately Organized,Neutral,Neutral,Strong,Neutral,Weak,Neutral,68.70%,59%,3,3.9,87.50%,88.90%,95.10%,94.40%,No,,
610384,Infinity Math Science and Technology High School,60623,0,Far Above Average,84.30%,78.60%,52.90%,73%,Below Average,14.09,15.39,17.4,15.15,16.73,17.4,84.40%,81.20%,0.30%,0.80%,98.10%,99.10%,29%,22.70%,55.70%,62.70%,87%,66.70%,Well-organized,Strong,Strong,Strong,Very Strong,Strong,Strong,78.40%,82.80%,5.3,4.8,92.20%,93.50%,96%,95.60%,No,,
610385,Multicultural Academy of Scholarship,60623,0,Average,,57.30%,52.10%,54.80%,Below Average,13.31,14.2,16.5,,14.54,16.5,58%,57.50%,5.80%,4.50%,78.70%,94.60%,21.10%,21.90%,58.50%,50%,51.60%,71.10%,Organized,Strong,Neutral,Neutral,Neutral,Strong,Neutral,38.50%,57.70%,3.2,2.4,89.20%,91.90%,96.70%,95.70%,No,,
610389,Orr Academy High School,60624,2,Below Average,,,44.80%,44.80%,Far Below Average,11.93,13.38,14.3,12.03,13.59,14.3,,,20.10%,21.40%,59.50%,42.90%,5.80%,11.60%,51.90%,42.40%,47.50%,61.50%,Partially Organized,Very Weak,Neutral,Strong,Very Weak,Weak,Neutral,66.70%,52.20%,2.5,4.3,66.30%,58%,95%,94.30%,No,,
610390,Hyman G Rickover Naval Academy High School,60660,0,Average,50%,64.40%,57.50%,57.60%,Below Average,15.19,15.84,18.5,15.25,16.31,18.5,63%,72.10%,3.50%,2.20%,90.70%,88.30%,23.40%,19.20%,63.50%,63.60%,72.30%,58.80%,Organized,Strong,Strong,Neutral,Neutral,Neutral,Strong,11.30%,11%,3,1.9,92.90%,93.30%,95.90%,95.90%,Pending,,
610391,Robert Lindblom Math & Science Academy HS,60636,0,Average,52.50%,51.10%,59.10%,53.60%,Above Average,18.03,19.27,22.1,18.24,19.58,22.1,68.90%,78.90%,2.30%,4.10%,83.30%,84.50%,29.10%,41.20%,85.90%,84.30%,91.50%,81%,Well-organized,Strong,Strong,Very Strong,Strong,Strong,Strong,63.50%,92.70%,4.1,4.7,92.70%,93.90%,95.90%,96.30%,Pending,,
610392,World Language Academy High School,60623,1,Above Average,64.20%,59.30%,,61.30%,Below Average,12.85,14.28,16.4,13.49,14.27,16.4,69.40%,62.80%,3.80%,1.90%,76%,58.50%,14.60%,15.20%,48.10%,53.80%,70.30%,83.90%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,43.50%,61.40%,3.5,5.5,91.60%,93.40%,96%,95.20%,No,,
610394,Uplift Community High School,60640,0,Above Average,60.60%,63.60%,62.50%,62.20%,Below Average,13.6,15.06,16.5,13.93,15.2,16.5,62.40%,70.70%,1.10%,2.80%,91.40%,84.80%,19.60%,26.30%,65%,65.40%,60%,59.30%,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Neutral,30.70%,43.10%,3.3,3.2,88.70%,90.30%,95.90%,95.10%,Pending,,
610402,DeVry University Advantage Academy HS,60618,0,Not Enough Data,,,,,Average,,,21,,,21,,,0.50%,0.50%,,,40.60%,72.50%,63.30%,83%,79.40%,83.60%,Well-organized,Very Strong,Strong,Very Strong,Very Strong,Very Strong,Very Strong,,63.60%,,2.1,96.70%,97.60%,94.50%,97%,No,,
610499,Collins Academy High School,60623,1,Below Average,41.60%,51.60%,54.30%,49.40%,Far Below Average,12.71,14.1,15.5,13.07,13.83,15.5,,70.50%,2.90%,2.30%,70.40%,62.90%,20.50%,14.50%,,67.90%,,,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,96.20%,96.50%,2.5,3.6,91.40%,90.10%,96.60%,96%,No,,
610501,Austin Polytechnical Academy High School,60644,3,Average,52.40%,51.70%,59.30%,54.50%,Far Below Average,12.21,13.39,14.6,11.82,13.69,14.6,,65.30%,1.10%,18.50%,56.10%,52.20%,8.50%,8.80%,,57.70%,,,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,57.40%,48.30%,2.9,2.5,70.10%,68.50%,95.20%,94.70%,No,,
610502,Marine Military Math and Science Academy,60612,0,Average,49.50%,57.30%,63.40%,56.20%,Below Average,13.97,15.25,17.5,14.77,15.67,17.5,,78.20%,4.80%,0.80%,86.30%,89.90%,37.70%,34.20%,,58.40%,,,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Weak,13%,37.30%,3.3,2.2,91.30%,91.50%,95.30%,95.20%,No,,
610506,TEAM Englewood Community Academy High School,60621,3,Average,76.60%,44.30%,52.30%,58.70%,Far Below Average,12.04,13.3,14.5,12.81,13.79,14.5,,73.90%,3%,1.70%,77.40%,83.90%,7.90%,3.60%,,57.90%,,,Organized,Neutral,Neutral,Neutral,Strong,Strong,Weak,48%,87%,2.7,2.6,87.30%,85.60%,96.50%,96.10%,No,,
610513,Air Force Academy High School,60609,0,Far Above Average,74.30%,82.90%,54.70%,70.60%,Below Average,14.61,16.14,18.2,15.29,16.27,18.2,,,5%,0.70%,91.80%,97.40%,,,,,,,Organized,Neutral,Strong,Neutral,Neutral,Neutral,Neutral,13.10%,11.60%,3,3.2,93.30%,82.90%,96.90%,97.20%,Yes,,
610518,VOISE Academy High School,60644,2,Average,38.70%,65.80%,64.80%,55.40%,Far Below Average,12.93,13.8,15.6,12.9,14.1,15.6,,,4.70%,0.60%,82%,77.30%,,12.10%,,,,,Well-organized,Neutral,Neutral,Strong,Strong,Strong,Neutral,61.50%,57.10%,4.1,3.3,84.50%,82%,96.50%,95.30%,No,,
610524,Alcott High School for the Humanities,60618,0,Above Average,54%,61.20%,68.30%,61.10%,Below Average,15.49,16.28,18,14.5,15.81,18,,,4.80%,1.80%,87.60%,82.60%,,,,,,,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,40%,31.30%,2.1,2.6,92.70%,92.20%,96.90%,,No,,
610529,Ogden International High School,60622,0,Average,59.60%,58.10%,,59%,Below Average,14.41,15.95,18.1,14.98,16.13,18.1,,,6.80%,5.30%,93.30%,91.70%,,,,,,,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Strong,39.40%,50.80%,2.4,2.5,94.20%,92%,,,No,,
610535,Mason High School,60623,1,Below Average,50%,43.80%,,46.40%,Far Below Average,12.52,13.88,13.6,14,15.57,13.6,,,2.60%,4.30%,40.90%,92.30%,,15.40%,,,,,Well-organized,Strong,Strong,Strong,Neutral,Neutral,Strong,50%,50%,2.9,3.2,90.40%,87.20%,,,No,,
610543,Eric Solorio Academy High School,60632,0,Not Enough Data,,,,,Not Enough Data,,,,14.19,16.54,,,,1.30%,3%,85.60%,84.60%,,,,,,,Well-organized,Strong,Strong,Strong,Strong,Very Strong,Neutral,86.20%,59%,1.8,1.5,92.20%,92.20%,,97.10%,No,,
