School ID,School Name,ZIP,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
609909,Edward Everett Elementary School,60608,1,NWEA,Above Average,65.40%,73.10%,66.70%,66.70%,,,,68.50%,74.10%,48.50%,66.70%,,,,62.40%,Average,48%,48.30%,33.30%,54.30%,,,,45.40%,53.30%,44.10%,54.30%,,,,50.50%,,69.40%,,,,67.80%,,62.80%,,,,62.60%,Well-organized,Very Strong,Not Enough Data,Not Enough Data,Strong,Very Strong,Not Enough Data,,66.70%,,3.4,95.30%,91.50%,97.70%,98.20%,Yes,No,
609912,James B Farnsworth Elementary School,60630,0,NWEA,Above Average,59.20%,60%,63.20%,50%,77.20%,42.30%,57.10%,58.50%,66%,47.20%,48.90%,66.10%,67.30%,57.10%,59.90%,Above Average,58.10%,55.40%,72.50%,51.90%,67.80%,59.60%,50%,59.70%,61.40%,61.50%,47.90%,58.60%,53.80%,55.60%,56.60%,,56.70%,58.70%,52.90%,,60.10%,,57.40%,59.80%,42.40%,,58.10%,Organized,Strong,Neutral,Neutral,Neutral,Strong,Strong,60%,50%,1.5,1.9,94.20%,92.90%,95.60%,95.10%,Pending,No,
609913,Elaine O Goodlow Elementary Magnet School,60636,6,Scantron,Below Average,37.90%,36.70%,28.20%,44.70%,36.80%,41.90%,55.60%,40.30%,38.80%,10.30%,34.20%,31.60%,41.90%,55.60%,35.40%,Far Below Average,25.30%,23.50%,10%,23.70%,25.60%,31.80%,29.70%,24.10%,19.60%,10%,15.80%,33.30%,43.20%,37.80%,26.50%,39.90%,,,48.60%,,40.50%,35.30%,,,24.30%,,35.50%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,92%,86%,1.2,1.2,91.60%,92%,96%,95.80%,No,No,
609916,Enrico Fermi Elementary School,60637,6,Scantron,Below Average,37.20%,20.80%,44%,36.40%,44.40%,80%,42.10%,42.90%,25%,45.80%,18.20%,41.20%,17.60%,33.30%,31.60%,Far Below Average,15.20%,4%,28%,0%,10.50%,27.80%,22.70%,16.40%,16%,33.30%,0%,16.70%,0%,8.70%,14%,42.90%,,,,,42.70%,31.60%,,,,,32.10%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,99.20%,98.20%,2,2.4,89.90%,87.80%,95.40%,94.20%,No,No,
609917,Fernwood Elementary School,60628,3,Scantron,Far Above Average,83%,87.50%,82.50%,81%,75.90%,90.30%,82.80%,83.30%,94.40%,94.70%,58.50%,82.80%,80.60%,89.70%,82.80%,Above Average,57.90%,69.20%,61.90%,41.90%,36.70%,62.50%,54.80%,54.80%,84.60%,72.50%,34.90%,43.30%,59.40%,71%,60.90%,83.30%,,,71%,,83.60%,82.80%,,,90.30%,,82.70%,Organized,Not Enough Data,Strong,Very Strong,Not Enough Data,Not Enough Data,Strong,95.70%,,2.7,,93.40%,94.80%,96.10%,96.80%,No,No,
609918,Eugene Field Elementary School,60626,0,Scantron,Above Average,56.80%,,51.90%,56.70%,71.40%,28.60%,72.20%,56.10%,,57.10%,60.90%,94.70%,21.40%,33.30%,57.60%,Below Average,38.90%,,20.90%,31.50%,50%,19%,60.50%,34.20%,,40.70%,20.30%,79.40%,26.20%,57.10%,43.70%,54.10%,53.90%,,,49.10%,56.20%,61.10%,56.80%,,,57.10%,57.70%,Moderately Organized,Neutral,Weak,Weak,Strong,Strong,Neutral,82.60%,92.90%,1.8,1.9,96.80%,96.90%,96.70%,96.40%,No,No,
609919,John Fiske Elementary School,60637,5,NWEA,Average,53.60%,35.30%,34.80%,73.30%,69%,68.40%,53.30%,55.90%,30%,39.10%,43.80%,77.80%,65.20%,53.30%,51.30%,Far Below Average,22.60%,31.60%,12.50%,29.40%,16.70%,40.90%,25%,25%,18.20%,4.20%,5.60%,21.10%,36%,37.50%,20.20%,55.90%,,,,,55.70%,51.30%,,,,,50%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,97.10%,63.40%,2.5,2.4,92.90%,93%,91.70%,92.90%,No,No,
609920,Gerald Delgado Kanoon Elementary Magnet School,60623,2,Scantron,Average,48.70%,30.20%,41.40%,54%,54.40%,43.80%,58.30%,47.40%,45.80%,40.80%,55.60%,50%,58.70%,52.10%,50%,Far Below Average,28.50%,20%,27%,26.60%,32.20%,20.80%,37.50%,27.50%,17%,27%,40.60%,32.20%,27.10%,31.30%,29.50%,,47.40%,,,42.40%,47.40%,,50%,,,55%,50.30%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,60%,45.90%,4.1,3.3,95.90%,95.60%,95.60%,96.50%,No,No,
609921,Telpochcalli Elementary School,60623,2,Scantron,Average,45.90%,50%,41.20%,52.60%,46.20%,46.20%,68.80%,50%,64.30%,37.50%,57.90%,25%,33.30%,42.90%,41.40%,Below Average,35.50%,46.70%,17.60%,15%,37%,51.90%,18.80%,32.80%,53.30%,52.90%,35%,35.70%,37%,18.80%,38.20%,,50.50%,,,53.30%,50%,,43.30%,,,46.70%,40.60%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,,33.30%,,2.1,95.40%,96%,94.70%,96%,No,No,
609922,Belmont-Cragin Elementary School,60639,1,Scantron,Average,49.50%,36%,42.90%,64.50%,65.40%,45.50%,48.10%,51.30%,60%,36%,43.30%,50%,60%,42.30%,47.50%,Below Average,36.40%,16%,24%,32.30%,23.10%,39.10%,40.70%,29.30%,34.80%,38.50%,35.50%,39.10%,54.50%,61.50%,43.70%,,51.30%,,,64.70%,50%,,48.60%,,,51.60%,47.10%,Well-organized,Strong,Strong,Strong,Strong,Neutral,Strong,35.70%,4.30%,1.8,2,95.30%,86%,96.80%,96.10%,Pending,No,
609924,Fort Dearborn Elementary School,60620,1,Scantron,Average,50.40%,45.10%,38.10%,43.20%,40%,57.10%,73.10%,50.40%,45.30%,38.10%,53.30%,68.60%,50%,50.90%,50.40%,Below Average,42.40%,24.60%,24.40%,27.70%,35.90%,43.80%,48.20%,34.20%,31.50%,28.90%,52.20%,64.10%,62.20%,66.70%,50.70%,50.20%,,,,,50.40%,50.40%,,,,,50.60%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,100%,94.30%,3.4,2.4,93.40%,93%,95.90%,95.80%,No,No,
609925,Joseph Kellman Corporate Community ES,60612,0,Scantron,Above Average,55.30%,76.70%,40%,45.20%,60.70%,70%,68%,60.40%,70%,44%,48.40%,57.10%,43.30%,36%,50.30%,Average,45.30%,43.30%,56%,25.80%,39.30%,60%,60%,46.70%,43.30%,40%,32.30%,53.60%,36.70%,60%,43.80%,60.40%,,,,,59.30%,50%,,,,,48.10%,Organized,Neutral,Very Strong,Very Strong,Neutral,Neutral,Very Strong,81.30%,90.90%,1.3,1.4,95.20%,95.20%,95.80%,95.20%,Pending,No,
609926,Franklin Elementary Fine Arts Center,60610,0,Scantron,Above Average,62.20%,41.10%,55.20%,54.80%,62.50%,76.70%,70%,57.10%,41.80%,78.30%,69.40%,53.30%,83.30%,86.70%,67.40%,Far Above Average,76.30%,73.20%,72.40%,66.10%,75%,86.70%,80%,73.90%,65.50%,83.30%,74.20%,87.10%,86.70%,86.70%,78.70%,45.50%,66%,67.50%,57.90%,,47.90%,57.10%,61.50%,77.40%,63.90%,,56.50%,Well-organized,Strong,Strong,Strong,Strong,Strong,Very Strong,85.70%,65.20%,2.1,1.7,95.90%,96.20%,95.30%,95.30%,No,No,
609927,Foster Park Elementary School,60620,5,Scantron,Below Average,40.80%,35.30%,27.60%,36.40%,47.20%,41.70%,41.90%,38.50%,34.40%,61.50%,44.10%,44.10%,41.70%,35.70%,43.30%,Far Below Average,26.40%,30.60%,15.60%,13.50%,26.30%,25.80%,30.30%,23.70%,25%,34.40%,25%,30.60%,25.90%,34.30%,29.20%,38.70%,,,,,38.60%,42.90%,,,,,42.50%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Weak,97.40%,90.50%,2.2,2.5,93.70%,92.20%,94.70%,95.30%,Pending,No,
609928,Melville W Fuller Elementary School,60653,6,Scantron,Below Average,42.10%,33.30%,,30%,66.70%,64.70%,28.60%,44.20%,,,,53.30%,25%,33.30%,39.70%,Far Below Average,13.30%,0%,,0%,0%,28.60%,25%,15.60%,,16.70%,,0%,20%,9.50%,10.70%,44.70%,,,,,44.20%,38.90%,,,,,39.70%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,44.70%,57%,2.8,2.6,91.80%,89.90%,93.90%,94%,No,No,
609929,Robert Fulton Elementary School,60609,10,NWEA,Far Above Average,74.90%,64.90%,70%,81%,66.70%,80.60%,38.50%,68.40%,73.20%,85.70%,94.10%,89.50%,88%,66.70%,82.60%,Below Average,31.50%,15.90%,44.10%,25.50%,11.80%,20%,18.50%,22.60%,23.40%,60%,51.30%,32%,55.20%,37.50%,41.80%,65.30%,76.70%,,,,68.10%,79%,97.10%,,,,82.40%,Well-organized,Neutral,Strong,Strong,Strong,Strong,Neutral,92.50%,69.10%,2.2,4.3,95.10%,93.70%,96.80%,96.70%,Pending,No,
609930,Frederick Funston Elementary School,60647,4,NWEA,Above Average,64.80%,65.40%,70%,76.90%,70.80%,78.30%,69.80%,71.60%,63.60%,40.40%,59.50%,59.60%,63%,64.70%,58%,Far Below Average,29%,33.90%,30.20%,35.70%,34%,29.80%,34.10%,32.90%,40.40%,9.30%,24.40%,24.50%,17%,37.10%,25.10%,71.80%,71.60%,,84.40%,76.90%,71.50%,55.60%,57.80%,,,56.40%,58.20%,Not Yet Organized,Weak,Neutral,Neutral,Very Weak,Weak,Neutral,72.50%,69.40%,2.6,1.8,94.70%,93.90%,95.40%,96.30%,No,No,
609932,Jesse Owens Elementary Community Academy,60628,1,Scantron,Below Average,33.30%,21.70%,,,,,,21.70%,45%,,,,,,45%,Far Below Average,20%,15.40%,,,,,,15.40%,24.60%,,,,,,24.60%,21.70%,,,,,20.30%,45%,,,,,45.80%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,60%,86.20%,1.8,2.5,91.30%,90.20%,93.50%,93.70%,No,No,
609933,Stephen F Gale Elementary Community Academy,60626,4,Scantron,Average,47.40%,34.10%,50%,37%,50%,38.10%,51.90%,43.60%,40.90%,56.40%,63%,44.40%,57.10%,52%,51%,Far Below Average,27.10%,18.80%,20.50%,10.30%,22.50%,37%,38.70%,23.80%,10.40%,31.70%,34.50%,27.50%,46.40%,45.20%,30.40%,44.10%,45.50%,,,,43.50%,49.30%,58.70%,,,,51.60%,Organized,Not Enough Data,Very Strong,Strong,Not Enough Data,Not Enough Data,Strong,68.90%,74.20%,2,1.9,92.10%,91.60%,95.20%,94.70%,Yes,No,
609935,Matthew Gallistel Elementary Language Academy,60617,0,Scantron,Above Average,57.50%,58.10%,50.80%,49.20%,58.70%,53%,66.10%,55.90%,66.90%,47.60%,55%,78.60%,46.10%,60%,59.20%,Below Average,39.70%,33.10%,23.60%,30.20%,31.70%,46.70%,48.40%,35.40%,33.90%,29.90%,40.80%,54.80%,48.30%,56.60%,43.90%,,55.60%,,43.90%,26.90%,55.60%,,59.40%,,56.10%,47.80%,59.40%,Not Yet Organized,Weak,Neutral,Weak,Weak,Very Weak,Neutral,41.30%,46.70%,2.9,2.7,95.10%,94.30%,96.30%,96.60%,No,No,
609937,John W Garvy Elementary School,60656,0,Scantron,Average,52.40%,55%,48.80%,45.50%,52.70%,52.80%,50%,51.10%,72.50%,64.30%,53.70%,46.80%,47.20%,35.20%,53.60%,Above Average,59.90%,55.60%,47.60%,60.70%,47.90%,59.50%,66.20%,55.40%,67.90%,72.60%,64.30%,61.70%,54.10%,65.30%,64.40%,,45.50%,55.10%,42.30%,,47.10%,,50.80%,54%,47.90%,,50.70%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,65.90%,63.10%,2,1.3,95.30%,96.10%,96.50%,96%,No,No,
609938,Joseph E Gary Elementary School,60623,0,Scantron,Average,53.50%,50.60%,55.70%,63.70%,67.30%,40.60%,60.70%,56.60%,52%,64.70%,56.50%,58%,16.50%,45.30%,50.30%,Below Average,37.50%,26.40%,25.30%,24.40%,28.10%,30.50%,37.80%,28.10%,31.70%,45%,57%,54.20%,33.60%,63%,46.90%,,56.60%,,32.30%,55.70%,56.40%,,50.70%,,45.20%,57.60%,50.20%,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Weak,48.10%,33%,2.3,2.1,96.10%,96.30%,96.20%,96.50%,Pending,No,
609939,Frank L Gillespie Elementary School,60619,0,Scantron,Average,51.90%,40%,38.10%,54.80%,67.20%,40%,57.70%,50.40%,40%,51.20%,56.50%,54.80%,68.90%,53.80%,53.30%,Far Below Average,29.90%,33.80%,25%,29.20%,36.80%,20.40%,43.60%,32.10%,17.60%,28.90%,21.50%,35.80%,28.60%,36.40%,27.60%,50.60%,,,32.80%,,49.10%,52.60%,,,54.40%,,52.30%,Well-organized,Neutral,Very Strong,Very Strong,Strong,Strong,Neutral,75%,18.80%,4.3,2,91.90%,92.70%,96.30%,97.10%,No,No,
609941,Asa Philip Randolph Elementary School,60636,6,Scantron,Above Average,69.50%,64.60%,55.30%,67.30%,69.50%,79.50%,41.80%,62%,71.40%,84.20%,82.70%,91.20%,75%,61%,77.30%,Below Average,39.10%,40%,19.50%,19.60%,20%,22.40%,27.90%,24.90%,33.30%,58.50%,50%,60%,56.30%,61.70%,53.60%,62.50%,,,60%,,61.80%,77.20%,,,64.10%,,77.40%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,80%,82.80%,1.6,1.4,92.10%,90.60%,95.30%,97%,No,No,
609942,Johann W von Goethe Elementary School,60647,0,NWEA,Far Above Average,71.10%,62.50%,74.10%,79.40%,65.10%,66.10%,76.20%,70.80%,58.90%,67.20%,81.40%,86.20%,73.20%,61.20%,71.50%,Average,53.90%,46.40%,62.10%,50%,60.90%,54.40%,65.60%,56.70%,48.20%,36.20%,45.90%,63.10%,55.20%,55.90%,51.10%,,70.30%,,68.30%,47.20%,71.30%,,70.90%,,80%,66.70%,71.50%,Well-organized,Very Strong,Strong,Strong,Very Strong,Very Strong,Very Strong,34.70%,,5.8,,95.80%,93.90%,97%,97.40%,No,No,
609943,Samuel Gompers Fine Arts Options ES,60628,1,Scantron,Average,47.10%,,36.50%,41.80%,48%,44.60%,44.30%,43.10%,,58%,35.80%,72.90%,50%,43.50%,51.30%,Below Average,32%,,20.80%,20.70%,32.10%,30.50%,23.10%,25.30%,,25.50%,28.80%,49%,41.70%,47%,38.70%,43.20%,,,29.20%,,42.60%,51.50%,,,39.60%,,52.40%,Moderately Organized,Weak,Neutral,Strong,Neutral,Neutral,Weak,55%,65.40%,2.7,2.3,93.60%,94.60%,96%,94.80%,No,No,
609944,Virgil Grissom Elementary School,60633,0,NWEA,Above Average,63.60%,46.70%,63.30%,50%,72.70%,74.10%,43.80%,57.20%,76.70%,83.30%,55.20%,59.10%,66.70%,75%,70%,Average,53.60%,53.10%,60.60%,47.10%,72.70%,44.80%,54.50%,54.60%,57.60%,66.70%,48.40%,54.50%,31%,54.50%,52.50%,,55.10%,61.90%,,,54.90%,,73.30%,63.40%,,,67.90%,Organized,Not Enough Data,Strong,Strong,Not Enough Data,Not Enough Data,Strong,,66.70%,,2.1,95.50%,94.70%,96.40%,95.80%,No,No,
609945,William C Goudy Elementary School,60640,0,Scantron,Far Above Average,71.70%,65.80%,56.30%,74.70%,77.60%,69.60%,80.80%,70.40%,77.80%,80.80%,76.80%,58.90%,57.10%,82.40%,73.10%,Above Average,57.50%,46.70%,50.70%,45.90%,55.10%,68.40%,61.50%,53.50%,62.20%,57.30%,44.70%,64.70%,80.70%,69.20%,61.60%,64.40%,68.40%,69.80%,64.50%,72.40%,69.90%,75.30%,71.90%,72.10%,74.20%,77%,73%,Well-organized,Strong,Very Strong,Strong,Strong,Strong,Strong,69.80%,93.80%,2.3,2.4,96.10%,95.70%,95.80%,96.80%,No,No,
609947,Alexander Graham Elementary School,60609,1,Scantron,Above Average,55.90%,61.50%,51.30%,57.80%,73%,45.50%,48.90%,55.80%,51.30%,53.80%,73.90%,48.70%,44.40%,61.70%,56.10%,Average,46.90%,47.60%,48.70%,36%,43.90%,35.40%,30.60%,39.80%,52.40%,56.40%,56.90%,61%,59.20%,38.80%,53.90%,50%,55.60%,61.30%,50%,,56.70%,50.70%,60%,56.30%,58.50%,,56.10%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Neutral,88.50%,82.40%,2,2.1,92.50%,92.10%,95%,94.70%,No,No,
609949,William P Gray Elementary School,60641,0,NWEA,Far Above Average,71.90%,72.20%,70.30%,80.80%,69.70%,75.20%,72.80%,73.20%,83.30%,74.50%,66%,62.80%,65.20%,70.70%,70.70%,Above Average,57.80%,54.10%,53.40%,68.60%,55.90%,76.10%,67.20%,61.80%,58.80%,52%,51.40%,54.90%,60.90%,44.90%,53.90%,,73%,77%,78.30%,75.90%,73.50%,,72.20%,67%,75.80%,76.10%,71.30%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Strong,82.70%,62.50%,2,2.7,95.60%,94.80%,95.90%,95.80%,No,No,
609951,Ariel Elementary Community Academy,60653,1,NWEA,Above Average,63%,47.70%,56.50%,57.90%,68.60%,67.40%,52.20%,58.70%,64.90%,54.90%,71.10%,75%,77.80%,58%,66.80%,Below Average,42.80%,53.10%,34.70%,47.60%,53.70%,45.80%,39.20%,45.70%,37.30%,31.40%,44.70%,55.40%,40.80%,30.80%,40.10%,58.90%,,,,,59.50%,66.40%,,,57.10%,,65.30%,Organized,Strong,Neutral,Neutral,Strong,Neutral,Neutral,56.70%,20.30%,4.4,4.8,95.50%,95.10%,96%,96.40%,No,No,
609952,Nathanael Greene Elementary School,60609,0,NWEA,Above Average,61.10%,64.10%,51.80%,61%,,,,59.30%,80.40%,50.60%,56.90%,,,,62.80%,Average,47.80%,47.40%,45.60%,56.40%,,,,50.20%,51.50%,40.90%,43.80%,,,,45.40%,,59.50%,,,57.90%,60.20%,,63.40%,,,72.10%,63.20%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,43.20%,,4,,95.50%,96.10%,96.20%,96.20%,Yes,No,
609954,John Milton Gregory Elementary School,60624,0,Scantron,Far Above Average,74.90%,69%,88.90%,85.70%,60%,63.60%,92%,76.30%,65.50%,81.50%,76.50%,61.80%,85.70%,76%,73.50%,Average,49.20%,21.90%,74.10%,48.60%,33.30%,46.20%,73.10%,47.80%,40.60%,74.10%,54.30%,33.30%,62.50%,46.20%,50.60%,76.20%,,,,,75.90%,73.40%,,,,,73.10%,Partially Organized,Weak,Weak,Neutral,Strong,Neutral,Weak,64.30%,73.30%,3.1,5.5,95.20%,94%,94.60%,95.60%,Yes,No,
609955,Walter Q Gresham Elementary School,60620,5,Scantron,Below Average,36.10%,39.10%,26.20%,25.80%,33.30%,28.20%,50%,33.20%,43.50%,46.50%,48.40%,33.30%,23.10%,41.20%,39.10%,Far Below Average,20.90%,37%,17%,12.90%,14.80%,7.50%,26.50%,18.40%,33.30%,19.10%,51.60%,25.90%,5%,14.70%,23.30%,33%,,,24.30%,,32.80%,39%,,,27%,,38.80%,Moderately Organized,Neutral,Weak,Weak,Strong,Strong,Weak,93.50%,96.80%,2.2,2,95.50%,95.10%,95%,94.80%,No,No,
609956,Robert L Grimes Elementary School,60638,0,NWEA,Above Average,65.20%,58.70%,65.90%,65.30%,61.40%,65.90%,67.30%,64.10%,78.30%,75.60%,53.10%,65.90%,41.50%,79.60%,66.30%,Average,45.60%,42.90%,38.30%,44.90%,42.20%,42.20%,69.20%,47%,51%,48.90%,36.70%,37.80%,34.10%,53.70%,44.10%,,62.60%,64.70%,61.30%,,63.80%,,65.90%,70.60%,53.10%,,66.70%,Well-organized,Strong,Strong,Strong,Strong,Strong,Strong,62.50%,65.90%,1.7,2.8,95.20%,93.90%,95.60%,95.50%,No,No,
609958,Frank W Gunsaulus Elementary Scholastic Academy,60632,0,NWEA,Above Average,56.30%,58.80%,38.80%,54.30%,52.90%,47.90%,56.80%,51.90%,56.50%,56.50%,63.70%,57.40%,50.80%,75.90%,61%,Below Average,39.70%,36.20%,37.30%,37.60%,33.80%,54.80%,54.20%,42.60%,38.60%,31.90%,41.30%,24.10%,29.50%,46.90%,36.50%,41.30%,52.60%,,,59.30%,52.80%,68.30%,59.70%,,,67.90%,60.20%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,5.20%,7.80%,1.6,2,96.60%,95.80%,96%,95.80%,No,No,
609959,John Charles Haines Elementary School,60616,0,NWEA,Above Average,68.20%,71.70%,64%,80.80%,56.30%,50.70%,46.30%,61.10%,73.90%,80%,74%,81.30%,65.30%,80.30%,75.40%,Above Average,68.30%,63.80%,56.60%,74.70%,58.80%,61.80%,60.30%,63%,85.10%,67.90%,70.70%,75%,71.10%,74.60%,73.60%,65.70%,,,38.10%,67.50%,61%,65.70%,,,59.50%,77.50%,75.20%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,,,,,98.40%,98.30%,96.20%,96.10%,Yes,No,
609960,Nathan Hale Elementary School,60638,0,NWEA,Above Average,59.40%,68.30%,58.20%,50%,58.40%,62.40%,57%,59.10%,77%,61.30%,36.50%,63.50%,66.70%,52.40%,59.80%,Average,46.90%,49.40%,53.10%,46.70%,58.20%,55.80%,67.10%,54.80%,45.10%,40.20%,21.10%,43.20%,43.20%,42.40%,39.20%,,57.20%,62.20%,74.60%,,59.90%,,58.20%,64.30%,59%,,58.90%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,54%,32.30%,1.5,2.8,94.50%,94.10%,96.20%,96.50%,No,No,
609961,Ninos Heroes Elementary Academic Center,60617,0,Scantron,Average,48.70%,52.10%,33.30%,53.30%,54.20%,49.10%,62.50%,50.20%,45.80%,40.40%,35.60%,60%,43.40%,58.30%,47.20%,Below Average,36.60%,33.30%,27%,19.10%,26%,37%,35.40%,29.70%,31.40%,36.50%,29.80%,54%,55.60%,54.20%,43.50%,48.70%,54.20%,,,,49.80%,46.40%,51.70%,,,,47.10%,Partially Organized,Weak,Neutral,Strong,Weak,Neutral,Weak,16.90%,58.20%,2.8,3.7,93.90%,94.10%,95%,95.40%,No,No,
609963,Alexander Hamilton Elementary School,60657,0,Scantron,Above Average,63%,65.40%,66.70%,58.30%,44.40%,,73.30%,61.50%,46.20%,88.90%,50%,88.90%,,66.70%,64.60%,Above Average,57.20%,50%,61.10%,58.30%,50%,,62.50%,54.60%,53.80%,72.20%,83.30%,61.10%,,43.80%,59.80%,,58.80%,,,,58.20%,,79.40%,,,,67.20%,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Neutral,Very Strong,41.90%,56%,1,1.1,95.30%,95.10%,97.40%,96.70%,Pending,No,
609964,John H Hamline Elementary School,60609,1,NWEA,Above Average,68.30%,59%,67.50%,63.80%,52.90%,81.40%,58.50%,63.10%,69.80%,47.50%,68%,67.30%,91.30%,92.50%,73.30%,Below Average,38.60%,25.40%,40.50%,20.80%,28.30%,39.50%,41%,31.90%,26.50%,40.50%,35.80%,30.50%,72.90%,71.20%,45.30%,,65.10%,,63.30%,62%,62.90%,,73.70%,,64.70%,68.80%,73.20%,Not Yet Organized,Very Weak,Weak,Weak,Very Weak,Very Weak,Weak,87.30%,87.90%,1.9,2.4,94.40%,93.20%,95.70%,96%,No,No,
609966,Charles G Hammond Elementary School,60623,1,Scantron,Below Average,35.80%,41.70%,32.40%,25%,45.50%,33.30%,54.20%,38.60%,8.70%,37.50%,20%,43.80%,35.70%,45.80%,32.90%,Far Below Average,29.50%,33.30%,16.70%,3.70%,22.90%,40.60%,44%,26.40%,14.80%,25.70%,3.70%,48.60%,40.60%,60%,32.60%,,39.90%,,,,38.60%,,33.60%,,,,32.90%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,55%,38.50%,1.6,3,95.30%,93.30%,95.20%,96.30%,Yes,No,
609967,William F Finkl Elementary School,60608,0,Scantron,Above Average,56%,48%,57.50%,40.40%,49.10%,69%,58.10%,53.90%,57.70%,70%,43.10%,71.90%,50.90%,56.90%,58.10%,Below Average,44.10%,38.30%,40.50%,21.20%,41%,52.50%,42.20%,39.70%,36.70%,52.40%,25%,62.30%,61.30%,50.80%,48.50%,,54%,,30.60%,57.80%,53.90%,,57.40%,,42.40%,54%,58.10%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Weak,Weak,Not Enough Data,52.60%,47.80%,3,3.1,95.20%,94.40%,96.90%,97.20%,No,No,
609968,Sharon Christa McAuliffe Elementary School,60647,2,Scantron,Below Average,39.60%,30.90%,39.50%,38.20%,39%,,,36.60%,36.60%,51.30%,44.20%,40.50%,,,42.50%,Below Average,30.90%,21.90%,21.70%,28.40%,36.90%,,,27%,26.50%,41.50%,32.30%,42.40%,,,34.70%,,37.40%,,,34.30%,36.50%,,43.10%,,,37.70%,42.40%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,38.80%,44.40%,1.9,2.8,93.90%,92.80%,95.70%,95.40%,Yes,No,
609969,Bret Harte Elementary School,60637,0,NWEA,Above Average,58.40%,56.80%,58.10%,59.60%,69.70%,,,60.60%,74.40%,35.70%,56.30%,60.60%,,,56.20%,Average,46.30%,35.90%,59.60%,53.10%,70.60%,,,54.40%,38.10%,34%,36.70%,47.10%,,,38.40%,62.60%,,,,,62.60%,55.70%,,,,,58.20%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Very Weak,Neutral,60%,37.30%,1.8,1.9,94.20%,94%,95.40%,95%,No,No,
